Event	ID	Name			Wwise Object Path	Notes
	547487259	CityEnvironment			\Default Work Unit\CityEnvironment	
	1071411313	ZombieRoaring			\Default Work Unit\ZombieRoaring	
	2050195728	ZombieFootsteps			\Default Work Unit\ZombieFootsteps	
	2314377922	BarrelExplosion			\Default Work Unit\BarrelExplosion	
	2385628198	Footsteps			\Default Work Unit\Footsteps	
	2548270042	Landing			\Default Work Unit\Landing	
	3833651337	Jump			\Default Work Unit\Jump	
	4143027357	M16_Riffle_Shot_Player			\Default Work Unit\Weapon\M16_Riffle_Shot_Player	

Switch Group	ID	Name			Wwise Object Path	Notes
	4040317175	Ground_Type			\Default Work Unit\Ground_Type	

Switch	ID	Name	Switch Group			Notes
	630539344	Dry	Ground_Type			
	803837735	Sand	Ground_Type			
	1181096339	Wet	Ground_Type			

Effect plug-ins	ID	Name	Type				Notes
	1866712635	High_Freq_Cut_1	Wwise Parametric EQ			

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	172800761	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Environment\CityEnvironment\SoundFx's\Dogs\Silence\Wwise Silence	
	307169300	Wwise Silence	Wwise Silence		\Actor-Mixer Hierarchy\Default Work Unit\Environment\CityEnvironment\SoundFx's\Thunder_Hit\Silence\Wwise Silence	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	6193926	DC_Zombie_Roaring1	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\DC_Zombie_Roaring1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Zombies\Zombie Roaring\DC_Zombie_Roaring1		145680
	18806997	DC_Zombie_Roaring2	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\DC_Zombie_Roaring2_FB58FCED.wem		\Actor-Mixer Hierarchy\Default Work Unit\Zombies\Zombie Roaring\DC_Zombie_Roaring2		162664
	66504976	Thunder2	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\Thunder2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\CityEnvironment\SoundFx's\Thunder_Hit\Thunder\Thunder2		2053016
	67343330	FS_Zombie	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\FS_Zombie_8CCD773F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Zombies\FootstepsZombie\Heel\FS_Zombie		38044
	86408245	FS_Zombie_03	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\FS_Zombie_4E6DFC93.wem		\Actor-Mixer Hierarchy\Default Work Unit\Zombies\FootstepsZombie\Toe\FS_Zombie_03		96772
	132006117	FS_Wet4	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\Footsteps\Wet\FS_Wet4_58746438.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main Character\Footsteps\FS_Puddle\FS_Puddle_Toe\FS_Wet4		85232
	177491537	CaseDrop3	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\CaseDrop3_89253CE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Case Drop\Case_Drop1\CaseDrop3		59936
	179117578	M16_RiffleShot2	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\M16_RiffleShot2_68DF6C99.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Riffle_M16_Shot_Player\M16_RiffleShot2		78380
	185288935	M16_RiffleShot1	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\M16_RiffleShot1_D501FC6D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Weapon\Riffle_M16_Shot_Player\M16_RiffleShot1		76892
	193301177	Jump3	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\Jump3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main Character\Jump\Jump3		96064
	245728736	DC_Zombie_Roaring3	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\DC_Zombie_Roaring3_0E94DD76.wem		\Actor-Mixer Hierarchy\Default Work Unit\Zombies\Zombie Roaring\DC_Zombie_Roaring3		166364
	252314752	FS_Wet1	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\FS_Wet1_AD9BA4FA.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main Character\Footsteps\FS_Puddle\FS_Puddle_Heel\FS_Wet1		13732
	255237192	Landing3	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\Landing3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main Character\Landing\Landing3		96064
	262908911	FS_Zombie_01	Y:\Documents\GitHub\DarkCity\DarkCity-main_WwiseProject\.cache\Windows\SFX\FS_Zombie_7A24F2C4.wem		\Actor-Mixer Hierarchy\Default Work Unit\Zombies\FootstepsZombie\Heel\FS_Zombie_01		63428
